UMLS分类	新分类
Activity	不要
Behavior	不要
Daily or Recreational Activity	不要
Event	不要
Governmental or Regulatory Activity	不要
Individual Behavior	不要
Machine Activity	不要
Occupational Activity	不要
Social Behavior	不要
Anatomical Structure	Anatomy
Body Location or Region	Anatomy
Body Part, Organ, or Organ Component	Anatomy
Body Space or Junction	Anatomy
Body Substance	Anatomy
Body System	Anatomy
Cell	Anatomy
Cell Component	Anatomy
Embryonic Structure	Anatomy
Fully Formed Anatomical Structure	Anatomy
Tissue	Anatomy
Amino Acid, Peptide, or Protein	Chemical or Drug
Antibiotic	Chemical or Drug
Biologically Active Substance	Chemical or Drug
Biomedical or Dental Material	Chemical or Drug
Carbohydrate	Chemical or Drug
Chemical	Chemical or Drug
Chemical Viewed Functionally	Chemical or Drug
Chemical Viewed Structurally	Chemical or Drug
Clinical Drug	Chemical or Drug
Eicosanoid	Chemical or Drug
Element, Ion, or Isotope	Chemical or Drug
Enzyme	Chemical or Drug
Hazardous or Poisonous Substance	Chemical or Drug
Hormone	Chemical or Drug
Immunologic Factor	Chemical or Drug
Indicator, Reagent, or Diagnostic Aid	Chemical or Drug
Inorganic Chemical	Chemical or Drug
Lipid	Chemical or Drug
Neuroreactive Substance or Biogenic Amine	Chemical or Drug
Nucleic Acid, Nucleoside, or Nucleotide	Chemical or Drug
Organic Chemical	Chemical or Drug
Organophosphorus Compound	Chemical or Drug
Pharmacologic Substance	Chemical or Drug
Receptor	Chemical or Drug
Steroid	Chemical or Drug
Vitamin	Chemical or Drug
Classification	不要
Conceptual Entity	不要
Functional Concept	不要
Group Attribute	不要
Idea or Concept	不要
Intellectual Product	不要
Language	不要
Qualitative Concept	不要
Quantitative Concept	不要
Regulation or Law	不要
Spatial Concept	不要
Temporal Concept	不要
Drug Delivery Device	Medical Device
Medical Device	Medical Device
Research Device	Research Device
Cell or Molecular Dysfunction	Pathology
Experimental Model of Disease	Pathology
Pathologic Function	Pathology
Disease or Syndrome	Disease or Syndrome
Acquired Abnormality	Anatomical Abnormality
Anatomical Abnormality	Anatomical Abnormality
Congenital Abnormality	Anatomical Abnormality
Mental or Behavioral Dysfunction	Mental or Behavioral Dysfunction
Injury or Poisoning	Injury or Poisoning
Finding	Sign, Symptom, or Finding
Sign or Symptom	Sign, Symptom, or Finding
Neoplastic Process	Neoplastic Process
Amino Acid Sequence	Molecular Sequences
Carbohydrate Sequence	Molecular Sequences
Molecular Sequence	Molecular Sequences
Nucleotide Sequence	Molecular Sequences
Gene or Genome	Gene or Genome
	Mutation
Geographic Area	不要
Group	不要
Amphibian	Animal
Animal	Animal
Bird	Animal
Fish	Animal
Mammal	Animal
Reptile	Animal
Vertebrate	Animal
Age Group	Human
Family Group	Human
Human	Human
Patient or Disabled Group	Human
Population Group	Human
Professional or Occupational Group	Human
Archaeon	Microorganism
Bacterium	Microorganism
Fungus	Microorganism
Virus	Microorganism
Eukaryote	Eukaryote
Organism	Organism
Plant	Plant
Entity	不要
Food	不要
Manufactured Object	不要
Physical Object	不要
Substance	不要
Biomedical Occupation or Discipline	不要
Occupation or Discipline	不要
Health Care Related Organization	不要
Organization	不要
Professional Society	不要
Self-help or Relief Organization	不要
Biologic Function	不要
Environmental Effect of Humans	不要
Human-caused Phenomenon or Process	不要
Laboratory or Test Result	不要
Natural Phenomenon or Process	不要
Phenomenon or Process	不要
Clinical Attribute	不要
Organism Attribute	不要
Cell Function	Physiology
Genetic Function	Physiology
Mental Process	Physiology
Molecular Function	Physiology
Organism Function	Physiology
Organ or Tissue Function	Physiology
Physiologic Function	Physiology
Diagnostic Procedure	Diagnostic Procedure
Educational Activity	不要
Health Care Activity	不要
Laboratory Procedure	Laboratory Procedure
Molecular Biology Research Technique	Research Activity or Technique
Research Activity	Research Activity or Technique
Therapeutic or Preventive Procedure	Therapeutic or Preventive Procedure
